Funding Cycle,County Name,Visit Type,Item,Variable,Variable Detail,Frequency Count,Percent of Total Frequency,Date Closed,Location
2006-2009,Erie,Initial visits,Housing condition,Functional smoke detector on every floor,Unknown,2,0.1,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Erie,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",Unknown,12,0.3,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Broome,Revisits,Housing condition,Effective housecleaning,Unknown,216,97.7,10/27/2017,"(42.122015, -75.933191)"
2006-2009,Niagara,Initial visits,Housing condition,Smoker in home,No,1242,50.9,10/27/2017,"(43.134634, -78.856419)"
2009-2014,All counties,Initial visits,Housing information,Owner occupied,No,67,0.8,10/27/2017,
2014-2019,All counties,Revisits,Housing condition,Improperly stored garbage near building,No,5527,89.5,10/27/2017,
2006-2009,Erie,Initial visits,Housing condition,Functional fire extinguisher,Unknown,25,0.9,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Niagara,Revisits,Housing condition,"Mice, evidence or reported",Yes,31,4.9,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Westchester,Revisits,Housing condition,"Rats, evidence or reported",Unknown,11,10.2,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Westchester,Initial visits,Housing information,Units in building,5 units,16,1.1,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Erie,Initial visits,Housing condition,Smell of scented products,Yes,8,0.2,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Niagara,Initial visits,Housing condition,"Cockroaches, evidence or reported",Unknown,9,0.4,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Cayuga,Revisits,Housing condition,Smoking limited to certain rooms,Not applicable,127,,10/27/2017,"(42.940095, -76.560755)"
2014-2019,NYC-Manhattan,Revisits,Housing condition,Working carbon monoxide detector,No,2,12.5,10/27/2017,"(40.726966, -74.005966)"
2014-2019,Oneida,Revisits,Housing condition,Significant clutter,Improved,1,0.5,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Niagara,Revisits,Housing condition,Smoker in home,Yes,553,37.7,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Oneida,Initial visits,Housing condition,Smell of scented products,Unknown,15,2,10/27/2017,"(43.149482, -75.361773)"
2009-2014,All counties,Initial visits,Housing information,Units in building,Unknown,273,1.1,10/27/2017,
2014-2019,Monroe,Initial visits,Respondent demographics,Hispanic ethnicity,No,1532,81.4,10/27/2017,"(43.161748, -77.620143)"
2009-2014,All counties,Initial visits,Housing condition,Chemical smell indoors,No,23213,95.9,10/27/2017,
2014-2019,NYC-Queens,Initial visits,Respondent demographics,Race: Asian,Asian,2,20,10/27/2017,"(40.749338, -73.789673)"
2009-2014,Monroe,Revisits,Housing condition,Functional smoke detectors in common areas,Yes,123,20.2,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Niagara,Revisits,Housing condition,Functional fire extinguisher,Unknown,6,0.8,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Albany,Revisits,Housing condition,Furnace filter dirty or missing,No,24,92.3,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Onondaga,Revisits,Housing condition,"Mold or mildew, observed or smell",Unknown,2,0.7,10/27/2017,"(43.065629, -76.168033)"
2009-2014,Schenectady,Initial visits,Housing condition,Food/harborage for cockroaches,Yes,54,6.5,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Schenectady,Initial visits,Housing condition,Food/harborage for cockroaches,No,542,92,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Tompkins,Initial visits,Housing condition,Smoking limited to certain rooms,No,175,43.9,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Tompkins,Revisits,Housing condition,Significant dust accumulation,Improved,38,7.7,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Niagara,Revisits,Housing condition,Furnace filter dirty or missing,Unknown,111,17.6,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Orange,Initial visits,Housing condition,Functional smoke detectors in common areas,Yes,1365,51.3,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Schenectady,Initial visits,Housing information,Rental assistance,No/Unknown,564,51.4,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Tompkins,Initial visits,Housing condition,Smoker in home,Unknown,8,0.5,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Oneida,Initial visits,Housing condition,Residents practice exit drills,Unknown,14,1.3,10/27/2017,"(43.149482, -75.361773)"
2014-2019,NYC-Bronx,Revisits,Housing condition,Functional smoke detectors in common areas,Yes,27,32.9,10/27/2017,"(40.85589, -73.868294)"
2014-2019,Onondaga,Initial visits,Housing condition,Smoking limited to certain rooms,Yes,153,10.6,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Monroe,Initial visits,Housing condition,Humidifier or vaporizer used,Yes,229,23,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Westchester,Initial visits,Housing condition,Food/harborage for cockroaches,Yes,13,0.6,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Orange,Initial visits,Housing information,Renter/owner,"Rent, public",302,11.3,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Erie,Revisits,Housing condition,Deteriorated paint outside,Not applicable,104,,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Erie,Initial visits,Housing condition,Improperly stored garbage near building,Yes,34,0.9,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Erie,Initial visits,Housing condition,Significant clutter,No,3938,98.5,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Cayuga,Initial visits,Housing condition,Improperly stored garbage inside,No,1,100,10/27/2017,"(42.940095, -76.560755)"
2014-2019,Broome,Initial visits,Housing condition,Furnace filter dirty or missing,Unknown,450,44.1,10/27/2017,"(42.122015, -75.933191)"
2006-2009,Orange,Initial visits,Housing condition,"Mold or mildew, observed or smell",No,808,85.9,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Onondaga,Revisits,Housing condition,"Cockroaches, evidence or reported",No,694,86.4,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Erie,Initial visits,Housing condition,Residents practice exit drills,Yes,2553,63.8,10/27/2017,"(42.888143, -78.795544)"
2009-2014,All counties,Revisits,Housing condition,"Mold or mildew, observed or smell",Yes,431,7,10/27/2017,
2006-2009,Albany,Revisits,Housing condition,Plumbing leaks,No,196,97.5,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Cortland,Initial visits,Housing condition,"Rats, evidence or reported",Unknown,1,0.1,10/27/2017,"(42.597101, -76.143291)"
2006-2009,Orange,Revisits,Housing condition,Food/harborage for cockroaches,No,175,74.5,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Tompkins,Revisits,Housing condition,"Cockroaches, evidence or reported",No,404,96,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Niagara,Initial visits,Housing condition,Functional smoke detectors in common areas,Unknown,1851,75.9,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Rensselaer,Initial visits,Housing condition,Deteriorated paint outside,Not applicable,139,,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Orange,Revisits,Housing condition,Functional smoke detector on every floor,Unknown,14,6,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Tompkins,Revisits,Housing condition,Smoker in home,Yes,78,18.5,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Rockland,Initial visits,Housing condition,Functional fire extinguisher,No,567,65.6,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Onondaga,Initial visits,Housing condition,Exits function properly,Yes,2886,98,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Clinton,Initial visits,Respondent demographics,Race: Black,Black/African American,16,1.8,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Niagara,Initial visits,Housing condition,Improperly stored garbage inside,No,3090,90.1,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Westchester,Initial visits,Housing condition,Smoking allowed in home,No,15,18.3,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Rensselaer,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,Improved,1,0.4,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Rockland,Revisits,Housing condition,Effective housecleaning,No,11,4.4,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Niagara,Initial visits,Housing condition,Significant clutter,No,1748,71.7,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Cayuga,Revisits,Housing condition,Improperly stored flammables,No,103,62,10/27/2017,"(42.940095, -76.560755)"
2006-2009,Schenectady,Revisits,Housing condition,Deteriorated paint outside,No,54,66.7,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Clinton,Initial visits,Respondent demographics,High school diploma or equivalent,Unknown,16,1.8,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Orange,Revisits,Housing condition,Functional smoke detectors in common areas,Unknown,98,21.4,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Westchester,Revisits,Housing condition,Functional smoke detector on every floor,No,3,2.8,10/27/2017,"(41.039278, -73.805386)"
2014-2019,NYC-Bronx,Initial visits,Housing condition,Smoking allowed in home,Not applicable,165,,10/27/2017,"(40.85589, -73.868294)"
2014-2019,Cayuga,Revisits,Housing condition,Significant clutter,Unknown,47,28.3,10/27/2017,"(42.940095, -76.560755)"
2014-2019,Niagara,Initial visits,Housing information,Owner occupied,Yes,940,99.2,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Monroe,Revisits,Housing condition,Smoking allowed in home,No,66,28,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Schenectady,Revisits,Housing condition,Smell of scented products,No,181,94.3,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Onondaga,Initial visits,Housing information,Owner occupied,No,10,1.1,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Tioga,Initial visits,Housing condition,Furnace filter dirty or missing,Yes,33,3.8,10/27/2017,"(42.120252, -76.29595)"
2009-2014,All counties,Initial visits,Housing information,Renter/owner,Unknown,72,0.3,10/27/2017,
2006-2009,Monroe,Revisits,Housing condition,Humidifier or vaporizer used,No,181,78.4,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Clinton,Revisits,Housing condition,"Mold or mildew, observed or smell",No,475,91.3,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Oneida,Initial visits,Housing condition,Improperly stored garbage inside,Unknown,17,2.2,10/27/2017,"(43.149482, -75.361773)"
2014-2019,NYC-Bronx,Initial visits,Respondent demographics,High school diploma or equivalent,Yes,124,56.9,10/27/2017,"(40.85589, -73.868294)"
2006-2009,All counties,Initial visits,Housing condition,Significant clutter,Unknown,554,3.9,10/27/2017,
2006-2009,Monroe,Initial visits,Housing condition,"Cockroaches, evidence or reported",Unknown,4,0.4,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Columbia,Revisits,Housing condition,Effective housecleaning,No,10,14.5,10/27/2017,"(42.276913, -73.682168)"
2014-2019,Broome,Revisits,Housing condition,Plumbing leaks,Unknown,206,93.2,10/27/2017,"(42.122015, -75.933191)"
2014-2019,Niagara,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,Unknown,21,1.6,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Rensselaer,Initial visits,Housing condition,Smoking limited to certain rooms,No,97,51.1,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Erie,Initial visits,Housing condition,Significant clutter,Yes,287,10.3,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Niagara,Initial visits,Housing condition,Every room has ventilation,No,19,0.8,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Clinton,Revisits,Housing condition,Plumbing leaks,Yes,10,2.2,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Oneida,Initial visits,Housing information,Rental assistance,No/Unknown,312,48.2,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Oneida,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,No,345,31.8,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Erie,Initial visits,Housing condition,Plumbing leaks,No,3938,98.5,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Schenectady,Initial visits,Housing condition,Improperly stored flammables,No,741,89.5,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Tompkins,Initial visits,Housing condition,Chemical smell indoors,Unknown,1,0.1,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Monroe,Revisits,Housing condition,Smoke detectors audible from sleeping spaces,Unknown,15,4.1,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Tompkins,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Yes,996,61.4,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Tompkins,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",Improved,52,12.4,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Rensselaer,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,Unknown,16,1.2,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Rensselaer,Initial visits,Housing condition,Residents practice exit drills,No,1029,75.4,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Oneida,Revisits,Housing condition,"Mold or mildew, observed or smell",Improved,12,5.7,10/27/2017,"(43.149482, -75.361773)"
2009-2014,All counties,Initial visits,Respondent demographics,Race: White,White,12200,50.4,10/27/2017,
2014-2019,Erie,Initial visits,Housing condition,Residents practice exit drills,No,1380,34.5,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Orange,Initial visits,Housing condition,Smoking allowed in home,Unknown,1,0.3,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Orange,Revisits,Housing condition,"Rats, evidence or reported",Unknown,7,1.5,10/27/2017,"(41.422459, -74.241929)"
2014-2019,All counties,Revisits,Housing condition,Furnace filter dirty or missing,Unknown,1609,26.1,10/27/2017,
2014-2019,Columbia,Revisits,Housing condition,Electrical hazards,Unknown,2,2.9,10/27/2017,"(42.276913, -73.682168)"
2014-2019,Niagara,Initial visits,Housing condition,Roofing or structural leaks,No,1218,93.1,10/27/2017,"(43.134634, -78.856419)"
2014-2019,NYC-Queens,Revisits,Housing condition,Functional smoke detectors in common areas,Unknown,1,25,10/27/2017,"(40.749338, -73.789673)"
2014-2019,Cayuga,Initial visits,Housing condition,Smoker in home,Yes,413,35,10/27/2017,"(42.940095, -76.560755)"
2006-2009,Niagara,Revisits,Housing condition,Deteriorated paint outside,Unknown,2,0.5,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Albany,Initial visits,Respondent demographics,Receives public assistance,Unknown,10,1.4,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Schenectady,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,No,635,48.5,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Monroe,Revisits,Housing condition,Functional smoke detector on every floor,No,3,1.3,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Orange,Initial visits,Housing condition,Chemical smell indoors,Yes,41,1.5,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Westchester,Initial visits,Respondent demographics,Hispanic ethnicity,No,61,33,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Orange,Revisits,Housing condition,Functional smoke detectors in common areas,Improved,1,0.2,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Niagara,Initial visits,Housing information,Owner occupied,Yes,2020,99,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Tompkins,Initial visits,Housing condition,Improperly stored garbage near building,Yes,140,8.6,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Schenectady,Revisits,Housing condition,Smoker in home,Yes,78,40.6,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Orange,Initial visits,Housing condition,Improperly stored garbage inside,No,912,96.9,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Schenectady,Initial visits,Housing condition,Humidifier or vaporizer used,Yes,175,21.1,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Schenectady,Initial visits,Housing condition,"Rats, evidence or reported",Unknown,6,1,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Onondaga,Initial visits,Respondent demographics,Race: Native American,Native American,25,0.9,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Rensselaer,Revisits,Housing condition,Food/harborage for cockroaches,Unknown,1,0.4,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Erie,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",Improved,1,0.1,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Cayuga,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,Unknown,59,35.5,10/27/2017,"(42.940095, -76.560755)"
2009-2014,Orange,Initial visits,Housing condition,Every room has ventilation,Unknown,10,0.4,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Erie,Revisits,Housing condition,Smell of scented products,Yes,142,18.4,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Oneida,Initial visits,Housing information,Age of building,Post-1978,20,2.6,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Clinton,Initial visits,Housing condition,Plumbing leaks,Yes,72,4.4,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Orange,Initial visits,Respondent demographics,Receives public assistance,Yes,1750,65,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Rensselaer,Revisits,Housing condition,Residents practice exit drills,Unknown,4,2.6,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Westchester,Initial visits,Housing information,Age of building,Pre-1950,335,22.9,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Rockland,Initial visits,Housing information,Renter/owner,Own,1020,79.7,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Niagara,Revisits,Housing condition,Functional smoke detectors in common areas,Unknown,184,24.1,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Orange,Initial visits,Housing condition,Smoker in home,Yes,340,36.1,10/27/2017,"(41.422459, -74.241929)"
2014-2019,NYC-Bronx,Initial visits,Respondent demographics,Race: Other not specified,Other not specified,33,15.1,10/27/2017,"(40.85589, -73.868294)"
2009-2014,Orange,Revisits,Housing condition,Improperly stored flammables,Unknown,11,2.4,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Clinton,Initial visits,Housing information,Owner occupied,No,3,0.3,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Albany,Revisits,Housing condition,Working carbon monoxide detector,No,5,2.1,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Oneida,Initial visits,Housing condition,Furnace filter dirty or missing,Yes,82,7.6,10/27/2017,"(43.149482, -75.361773)"
2006-2009,Albany,Revisits,Housing condition,Functional smoke detectors in common areas,No,15,7.5,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Cortland,Revisits,Housing condition,Improperly stored garbage near building,No,225,97.4,10/27/2017,"(42.597101, -76.143291)"
2009-2014,Cayuga,Initial visits,Housing condition,Humidifier or vaporizer used,No,1,100,10/27/2017,"(42.940095, -76.560755)"
2006-2009,Clinton,Initial visits,Housing information,Owner occupied,Yes,532,99.3,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Oneida,Initial visits,Housing condition,Electrical hazards,No,684,89.8,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Cayuga,Revisits,Housing condition,Improperly stored garbage near building,No,98,59,10/27/2017,"(42.940095, -76.560755)"
2006-2009,Niagara,Initial visits,Housing condition,Working carbon monoxide detector,Unknown,187,7.7,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Clinton,Revisits,Housing condition,Smoking limited to certain rooms,Not applicable,370,,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Albany,Revisits,Housing condition,Exits function properly,Unknown,1,0.5,10/27/2017,"(42.678066, -73.814233)"
2014-2019,NYC-Kings,Initial visits,Housing condition,Chemical smell indoors,Unknown,1,0.9,10/27/2017,"(40.65642, -73.950691)"
2009-2014,Orange,Initial visits,Housing condition,Roofing or structural leaks,Yes,221,8.3,10/27/2017,"(41.422459, -74.241929)"
2006-2009,All counties,Initial visits,Housing condition,Deteriorated paint inside,No,7372,72.1,10/27/2017,
2014-2019,Monroe,Revisits,Housing condition,Working carbon monoxide detector,No,11,3,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Monroe,Revisits,Housing condition,"Rats, evidence or reported",No,573,93.9,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Cortland,Revisits,Housing condition,Humidifier or vaporizer used,Yes,49,21.2,10/27/2017,"(42.597101, -76.143291)"
2006-2009,Monroe,Revisits,Housing condition,Food/harborage for cockroaches,No,228,98.7,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Erie,Revisits,Housing condition,Significant dust accumulation,No,824,98.3,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Monroe,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,Yes,255,70.1,10/27/2017,"(43.161748, -77.620143)"
2014-2019,NYC-Kings,Initial visits,Housing condition,Roofing or structural leaks,Yes,21,19.6,10/27/2017,"(40.65642, -73.950691)"
2014-2019,Schenectady,Initial visits,Housing condition,"Mice, evidence or reported",Yes,116,8.9,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Clinton,Initial visits,Housing condition,Humidifier or vaporizer used,No,993,61.3,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Rensselaer,Initial visits,Housing condition,Improperly stored garbage near building,Yes,34,6.4,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Clinton,Revisits,Housing condition,Improperly stored garbage near building,Unknown,1,0.2,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Rensselaer,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,No,256,48,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Orange,Revisits,Housing condition,Smoking allowed in home,Yes,90,65.7,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Westchester,Revisits,Housing condition,"Rats, evidence or reported",No,228,96.2,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Niagara,Revisits,Housing condition,Chemical smell indoors,Yes,162,11,10/27/2017,"(43.134634, -78.856419)"
2009-2014,All counties,Initial visits,Respondent demographics,High school diploma or equivalent,Unknown,1170,4.8,10/27/2017,
2006-2009,Rensselaer,Initial visits,Housing condition,Working carbon monoxide detector,No,275,51.6,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Onondaga,Revisits,Housing condition,Deteriorated paint outside,Yes,172,27,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Schenectady,Revisits,Housing condition,Effective housecleaning,Improved,6,3.2,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Clinton,Revisits,Housing condition,Electrical hazards,Unknown,1,0.2,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Albany,Revisits,Housing condition,Smoking limited to certain rooms,Not applicable,15,,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Orange,Initial visits,Housing condition,Smoking limited to certain rooms,Not applicable,601,,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Tompkins,Revisits,Housing condition,Furnace filter dirty or missing,Unknown,27,6.4,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Oneida,Revisits,Housing condition,"Rats, evidence or reported",Unknown,1,0.5,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Tompkins,Revisits,Housing condition,Smoking limited to certain rooms,Not applicable,370,,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Orange,Revisits,Housing condition,Humidifier or vaporizer used,No,233,50.8,10/27/2017,"(41.422459, -74.241929)"
2014-2019,All counties,Revisits,Housing condition,Roofing or structural leaks,Yes,289,4.7,10/27/2017,
2014-2019,Broome,Initial visits,Housing condition,Smoking limited to certain rooms,Not applicable,455,,10/27/2017,"(42.122015, -75.933191)"
2006-2009,Rensselaer,Revisits,Housing condition,Furnace filter dirty or missing,Unknown,57,37.7,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Onondaga,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,Unknown,17,0.6,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Albany,Initial visits,Housing condition,Food/harborage for cockroaches,Unknown,6,0.9,10/27/2017,"(42.678066, -73.814233)"
2009-2014,Broome,Initial visits,Housing condition,Functional smoke detectors in common areas,No,1,100,10/27/2017,"(42.122015, -75.933191)"
2014-2019,Tioga,Initial visits,Housing condition,Functional smoke detector on every floor,No,328,38.1,10/27/2017,"(42.120252, -76.29595)"
2014-2019,Rensselaer,Revisits,Housing condition,Malfunctioning appliance that could cause indoor a,Improved,11,4.4,10/27/2017,"(42.70098, -73.628669)"
2014-2019,All counties,Revisits,Housing condition,Exits function properly,Improved,39,0.6,10/27/2017,
2006-2009,All counties,Initial visits,Respondent demographics,Hispanic ethnicity,No,11685,81.4,10/27/2017,
2009-2014,Rockland,Revisits,Housing condition,Working carbon monoxide detector,No,26,10.4,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Tompkins,Initial visits,Housing condition,Deteriorated paint outside,Unknown,212,32.8,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Schenectady,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Yes,850,64.9,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Niagara,Revisits,Housing condition,Malfunctioning appliance that could cause indoor a,Unknown,3,0.4,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Rensselaer,Revisits,Housing condition,Food/harborage for cockroaches,Unknown,12,7.9,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Schenectady,Initial visits,Housing condition,"Cockroaches, evidence or reported",Yes,63,10.7,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Rensselaer,Initial visits,Housing condition,Furnace filter dirty or missing,No,1140,83.5,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Cayuga,Revisits,Housing condition,Deteriorated paint inside,Unknown,11,12.8,10/27/2017,"(42.940095, -76.560755)"
2014-2019,Oneida,Initial visits,Housing condition,Food/harborage for cockroaches,No,1078,99.3,10/27/2017,"(43.149482, -75.361773)"
2006-2009,All counties,Revisits,Housing condition,Residents practice exit drills,Yes,1826,55.1,10/27/2017,
2009-2014,Monroe,Initial visits,Housing condition,Humidifier or vaporizer used,Unknown,4,0.2,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Oneida,Initial visits,Housing condition,Chemical smell indoors,Unknown,436,40.1,10/27/2017,"(43.149482, -75.361773)"
2006-2009,Rensselaer,Initial visits,Housing information,Units in building,2 units,148,28,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Tompkins,Revisits,Housing condition,Malfunctioning appliance that could cause indoor a,Unknown,10,2.4,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Oneida,Initial visits,Housing condition,Electrical hazards,Yes,3,23.1,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Schenectady,Initial visits,Housing information,Units in building,2 units,403,48.7,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Niagara,Initial visits,Housing information,Owner occupied,No,6,0.6,10/27/2017,"(43.134634, -78.856419)"
2014-2019,NYC-Kings,Revisits,Housing condition,Malfunctioning appliance that could cause indoor a,Yes,1,3.2,10/27/2017,"(40.65642, -73.950691)"
2014-2019,Cortland,Initial visits,Housing condition,Smoking allowed in home,No,6,3.2,10/27/2017,"(42.597101, -76.143291)"
2014-2019,Cayuga,Revisits,Housing condition,Functional smoke detectors in common areas,No,2,1.2,10/27/2017,"(42.940095, -76.560755)"
2009-2014,Tompkins,Revisits,Housing condition,Smoker in home,Unknown,3,0.6,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Rockland,Initial visits,Housing information,Units in building,1 unit,1049,58,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Erie,Initial visits,Housing information,Rental assistance,No/Unknown,2439,98.1,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Rensselaer,Revisits,Housing condition,Improperly stored garbage near building,Improved,4,2.6,10/27/2017,"(42.70098, -73.628669)"
2014-2019,NYC-Queens,Initial visits,Housing condition,Smoking allowed in home,Yes,2,100,10/27/2017,"(40.749338, -73.789673)"
